Time,Flow
1.53,0.396875
1.54,0.3640625
1.55,-0.4265625
1.56,-0.590625
1.57,-1.351563
1.58,-0.1515625
1.59,0.2359375
1.6,0.2671875
1.61,0.421875
1.62,0.58125
1.63,0.75625
1.64,0.15625
1.65,-0.65
1.66,-0.540625
1.67,-0.6875
1.68,0.240625
1.69,0.3640625
1.7,0.4578125
1.71,1.203125
1.72,0.8171875
1.73,0.378125
1.74,0.29375
1.75,-0.23125
1.76,-0.36875
1.77,-0.4953125
1.78,-0.4015625
1.79,-0.16875
1.8,0.7015625
1.81,0.8359375
1.82,0.584375
1.83,-0.2359375
1.84,0.0890625
1.85,0.021875
1.86,-0.7625
1.87,-0.5
1.88,-0.5078125
1.89,-0.178125
1.9,0.3859375
1.91,0.034375
1.92,1.517188
1.93,0.390625
1.94,0.425
1.95,-0.2609375
1.96,-0.2890625
1.97,-0.6234375
1.98,-0.5359375
1.99,0.2671875
2.0,-0.1046875
2.01,0.375
2.02,0.7375
2.03,0.0359375
2.04,0.546875
2.05,-0.30625
2.06,-0.46875
2.07,-1.115625
2.08,-0.4609375
2.09,-0.296875
2.1,0.5203125
2.11,0.3546875
2.12,0.9515625
2.13,0.446875
2.14,0.9296875
2.15,-0.1203125
2.16,-0.2140625
2.17,-0.85625
2.18,-1.23125
2.19,-0.3484375
2.2,0.4171875
2.21,0.640625
2.22,0.7953125
2.23,0.25
2.24,0.5109375
2.25,0.421875
2.26,-0.825
2.27,-0.5140625
2.28,-0.4625
2.29,-1.042188
2.3,0.3890625
2.31,0.428125
2.32,0.7421875
2.33,0.278125
2.34,0.4203125
2.35,-0.0203125
2.36,-0.74375
2.37,-0.628125
2.38,-0.4
2.39,-0.453125
2.4,-0.03125
2.41,-0.6640625
2.42,0.3921875
2.43,0.315625
2.44,0.384375
2.45,-0.11875
2.46,0.0859375
2.47,-0.33125
2.48,-0.3765625
2.49,-0.228125
2.5,-0.4046875
2.51,0.3390625
2.52,0.240625
2.53,0.5796875
2.54,0.5265625
2.55,0.03125
2.56,-0.4734375
2.57,-0.5921875
2.58,-0.2125
2.59,-0.2328125
2.6,0.2375
2.61,-0.1015625
2.62,0.5109375
2.63,0.534375
2.64,0.4328125
2.65,0.44375
2.66,0.25625
2.67,-0.7703125
2.68,-0.55625
2.69,-0.2875
2.7,-0.515625
2.71,0.434375
2.72,0.2953125
2.73,0.084375
2.74,0.559375
2.75,-0.11875
2.76,0.2375
2.77,-0.5
2.78,-0.7328125
2.79,-0.95
2.8,-0.55
2.81,0.125
2.82,0.578125
2.83,0.3703125
2.84,0.6203125
2.85,-0.078125
2.86,-0.025
2.87,0.134375
2.88,-0.3109375
2.89,-0.325
2.9,-0.5953125
2.91,0.33125
2.92,0.428125
2.93,1.051563
2.94,0.63125
2.95,0.5109375
2.96,-0.16875
2.97,0.2515625
2.98,-0.88125
2.99,-0.5359375
3.0,-0.2828125
3.01,-0.4859375
3.02,0.5296875
3.03,0.1921875
3.04,0.88125
3.05,0.5125
3.06,0.215625
3.07,-0.4578125
3.08,-0.7859375
3.09,-0.5953125
3.1,-0.4890625
3.11,0.0125
3.12,0.4390625
3.13,0.5140625
3.14,0.6453125
3.15,0.253125
3.16,0.15625
3.17,-0.86875
3.18,-0.5671875
3.19,-0.878125
3.2,0.1421875
3.21,0.2328125
3.22,0.4078125
3.23,0.8109375
3.24,0.6515625
3.25,0.0125
3.26,0.103125
3.27,-1.003125
3.28,-0.8859375
3.29,-0.1890625
3.3,-0.5984375
3.31,0.0
3.32,0.0
3.33,1.2125
3.34,0.6421875
3.35,0.553125
3.36,-0.00625
3.37,-0.1625
3.38,-0.2359375
3.39,-0.425
3.4,-0.159375
3.41,-0.0890625
3.42,0.1015625
3.43,0.3171875
3.44,0.66875
3.45,0.6078125
3.46,0.2578125
3.47,-0.3
3.48,-0.3609375
3.49,-0.9890625
3.5,-0.3734375
3.51,-0.428125
3.52,0.071875
3.53,0.609375
3.54,0.3828125
3.55,0.5203125
3.56,-0.08125
3.57,-0.2171875
3.58,-0.4234375
3.59,-0.5578125
3.6,-0.5
3.61,-0.6078125
3.62,-0.0578125
3.63,0.91875
3.64,0.7703125
3.65,0.471875
3.66,0.40625
3.67,0.45
3.68,-0.75
3.69,-0.5140625
3.7,-0.5421875
3.71,-0.234375
3.72,0.3296875
3.73,-0.0375
3.74,0.7515625
3.75,0.684375
3.76,0.5359375
3.77,0.2546875
3.78,-0.3359375
3.79,-0.7546875
3.8,-0.084375
3.81,-0.38125
3.82,0.8546875
3.83,0.9875
3.84,1.007813
3.85,1.275
3.86,0.4046875
3.87,0.2890625
3.88,-0.2875
3.89,-1.001563
3.9,-0.653125
3.91,-0.11875
3.92,-0.121875
3.93,-0.1015625
3.94,0.5578125
3.95,0.559375
3.96,0.7578125
3.97,-0.1515625
3.98,-0.2140625
3.99,-0.7984375
4.0,-0.365625
4.01,-0.1578125
4.02,-0.0703125
4.03,0.1
4.04,0.5828125
4.05,0.2640625
4.06,1.021875
4.07,-0.0734375
4.08,-0.246875
4.09,-0.85
4.1,-0.5625
4.11,-0.284375
4.12,0.2125
4.13,0.43125
4.14,0.1203125
4.15,0.34375
4.16,0.3390625
4.17,-0.3109375
4.18,-0.1515625
4.19,-0.2265625
4.2,-0.8515625
4.21,-0.1578125
4.22,-0.0265625
4.23,0.2515625
4.24,0.6765625
4.25,0.8
4.26,0.3421875
4.27,0.04375
4.28,-0.196875
4.29,-0.509375
4.3,-0.725
4.31,-0.9625
4.32,-0.2140625
4.33,0.2140625
4.34,0.3953125
4.35,0.6328125
4.36,0.7609375
4.37,-0.0109375
4.38,-0.346875
4.39,-0.990625
4.4,-1.05
4.41,-0.3109375
4.42,-0.3296875
4.43,0.3046875
4.44,0.3109375
4.45,0.4640625
4.46,0.8
4.47,0.4296875
4.48,0.246875
4.49,-0.6140625
4.5,-0.7203125
4.51,-0.5953125
4.52,-0.246875
4.53,0.4453125
4.54,0.4
4.55,0.45
4.56,0.5796875
4.57,0.584375
4.58,0.5046875
4.59,-0.6171875
4.6,-0.125
4.61,-0.503125
4.62,0.0796875
4.63,0.1390625
4.64,0.2109375
4.65,0.7375
4.66,0.4046875
4.67,0.1421875
4.68,0.196875
4.69,0.121875
4.7,-0.8921875
4.71,-0.7171875
